provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source,report,npi,status,time_diff,total_days,total_reports,report_number,max_days,max_date
40021,1997-11-10,1997-12-31,04/09/1999,03/30/1999,v1996,97.0,6015985.0,2502877.0,3513108.0,2430718.0,239255.0,116251.0,2493837.0,199.0,107.0,1.0,563933.0,,11401 INTERSTATE 30,LITTLE ROCK,AR,72209,PULASKI,SOUTHWEST HOSPITAL,,,3440761.0,-60815.0,19732913.0,2111.0,31305.0,,,,84413.0,,3473950.0,1800948.0,3854112.0,2163675.0,549129.0,475555.0,,,,,,,1997,unique reports,,,,,,,,,
54003,1997-10-01,1997-12-30,12/15/1999,11/19/1999,v1996,84.0,3956079.0,1524385.0,2431694.0,1631773.0,3487361.0,,154041.0,320.0,68.0,26.0,,,1301 RALSTON AVE.,BELMONT,CA,91002-,,BELMONT HILLS HOSPITAL,,,,336968.0,,,,,,,,,799257.0,1368109.0,3641402.0,314677.0,595179.0,557918.0,,,,,,,1997,unique reports,,,,,,,,,
54074,1997-11-01,1997-12-31,03/10/2000,02/24/2000,v1996,61.0,733089.0,345931.0,387158.0,804542.0,565514.0,,61375.0,187.0,22.0,18.0,,,525 OREGON STREET,VALLEJO,CA,94590,SOLANO,CALIFORNIA SPECIALTY HOSPITAL,,,,77120.0,617555.0,,2445.0,,,,,,365075.0,207907.0,1365592.0,187986.0,57707.0,56244.0,,,,,,,1997,unique reports,,,,,,,,,
110059,1997-10-01,1997-12-31,10/03/2000,06/17/1998,v1996,87.0,5135400.0,3258559.0,1876841.0,2989001.0,352855.0,71341.0,1530878.0,350.0,240.0,23.0,947344.0,1923.0,GIBSON & CADE STREET,HARTWELL,GA,30643,HART,HART COUNTY HOSPITAL,,,494977.0,652516.0,2926277.0,,,,384980.0,,,,4249217.0,2331341.0,2790377.0,1990933.0,775409.0,731668.0,,,,,,,1997,unique reports,,,,,,,,,
140182,1997-11-01,1997-12-31,03/19/2004,03/11/2004,v1996,192.0,31703529.0,17324311.0,14379218.0,17030347.0,3542738.0,2944877.0,13381322.0,1484.0,385.0,295.0,3716130.0,7101.0,4550 N. WINCHESTER,CHICAGO,IL,60640,COOK,RAVENSWOOD HOSPITAL MED CTR,,0.468449,926865.0,1621154.0,35535512.0,,20300000.0,,15318852.0,,36490261.0,,43052077.0,15355816.0,22726706.0,7149232.0,2467449.0,2163862.0,,,,,,,1997,unique reports,,,,,,,,,
140205,1997-11-01,1997-12-31,08/30/2000,08/22/2000,v1996,27.0,717192.0,352650.0,364542.0,920245.0,33857.0,,161960.0,25.0,11.0,,37204.0,,1625 SOUTH STATE STREET,BELVIDERE,IL,61008,BOONE,HIGHLAND COMMUNITY HOSPITAL,,,1492811.0,144647.0,1477623.0,132.0,6380.0,,,,8676.0,,914394.0,3531263.0,262840.0,382840.0,76799.0,75496.0,,,,,,,1997,unique reports,,,,,,,,,
140236,1997-10-01,1997-11-30,06/02/1998,05/15/1998,v1996,33.0,443895.0,285143.0,158752.0,375670.0,64256.0,,123341.0,33.0,19.0,2.0,73063.0,,335 EAST FIFTH STREET,CLIFTON,IL,60927,IROQUOIS,CENTRAL COMMUNITY HOSPITAL,,,7524.0,62316.0,292220.0,,2392134.0,,,,,,579487.0,702438.0,188600.0,179658.0,60651.0,54541.0,,,,,,,1997,unique reports,,,,,,,,,
170035,1997-10-01,1997-12-31,04/17/2000,04/05/2000,v1996,24.0,1696615.0,1288250.0,408365.0,1459077.0,101856.0,,555970.0,134.0,81.0,7.0,223699.0,,421 SOUTH MAPLE,GARNETT,KS,66032,ANDERSON,ANDERSON COUNTY HOSPITAL,,,,231841.0,3328.0,,,,,,,,1448391.0,374438.0,872467.0,752451.0,214397.0,209226.0,,,,,,,1997,unique reports,,,,,,,,,
180142,1997-11-01,1997-12-31,10/26/2000,09/11/2000,v1996,186.0,14734848.0,5702298.0,9032550.0,6802710.0,10938427.0,,,740.0,403.0,18.0,3044157.0,12119.0,150 N. EAGLE CREEK DRIVE,LEXINGTON,KY,40509-,FAYETTE,JEWISH HOSPITAL LEXINGTON,,,406332.0,1007555.0,2818439.0,-1005.0,-3380.0,,-457.0,,-15873.0,,12251937.0,2838825.0,11022542.0,3712305.0,2945805.0,2820492.0,,,,,,,1997,unique reports,,,,,,,,,
220035,1997-10-01,1997-11-30,05/16/2003,05/16/2003,v1996,118.0,20474217.0,8224260.0,12249957.0,10747385.0,2631257.0,371910.0,7425382.0,1143.0,642.0,95.0,4306987.0,,500 LYNNFIELD STREET,LYNN,MA,01904,ESSEX,ATLANTICARE MEDICAL CTR,,,112107.0,1335414.0,20974944.0,76128.0,6653621.0,3592337.0,9373023.0,,19421875.0,,23941305.0,18068259.0,11198651.0,9275566.0,3392156.0,3085843.0,,,,,,,1997,unique reports,,,,,,,,,
