provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source,report,npi,status,time_diff,total_days,total_reports,report_number,max_days,max_date
10001,2016-10-01,2017-09-30,07/19/2018,07/10/2018,v2010,387.0,1707737153.0,325106921.0,1382630232.0,344247883.0,161489039.0,35284667.0,620580306.0,19677.0,8010.0,3240.0,79152606.0,118513.0,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,,0.157182,14755780.0,31651152.0,149068204.0,,,,,,-369675111.0,,95040786.0,44214597.0,,,,,-50243.0,-434263.0,15379437.0,1235.0,104866562.0,,2017,unique reports,,,,,,,,,
10005,2016-10-01,2017-09-30,03/19/2018,03/12/2018,v2010,204.0,511279676.0,150905261.0,360374415.0,159283147.0,18803635.0,5157750.0,95857493.0,8463.0,3489.0,1493.0,26323211.0,42861.0,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,MARSHALL MEDICAL CENTER - SOUTH,,0.273325,12061052.0,7615458.0,92596061.0,-5411710.0,-74842555.0,,-8352327.0,,-95805861.0,,36068134.0,23318099.0,,,,,-52278.0,-198926.0,13483851.0,64286.0,24565140.0,-2316048.0,2017,unique reports,,,,,,,,,
10006,2016-07-01,2017-06-30,03/20/2019,03/18/2019,v2010,358.0,760620790.0,158328355.0,602292435.0,147812014.0,42041754.0,26164165.0,369614940.0,12896.0,5551.0,2018.0,47961169.0,27332.0,205 MARENGO STREET,FLORENCE,AL,35630,LAUDERDALE,ELIZA COFFEE MEMORIAL HOSPITAL,,0.159686,4991676.0,-199592.0,78412072.0,,-8262798.0,,,,-6767672.0,,37613483.0,14041261.0,,,,,-92778.0,-190797.0,41302319.0,2346027.0,39037942.0,,2017,unique reports,,,,,,,,,
10007,2016-10-01,2017-09-30,03/07/2018,03/05/2018,v2010,45.0,48377192.0,18164443.0,30212749.0,20712628.0,1772050.0,782686.0,10226052.0,1123.0,682.0,155.0,3580162.0,716.0,702 MAIN STREET,OPP,AL,36462-,COVINGTON,MIZELL MEMORIAL HOSPITAL,,0.307879,78175.0,99885.0,6021148.0,-154369.0,-10802229.0,,-12945680.0,,,,4255783.0,2012220.0,,,,,-5583.0,-3167.0,57901.0,,3852672.0,,2017,unique reports,,,,,,,,,
10008,2017-01-01,2017-12-31,06/04/2018,05/26/2018,v2010,29.0,30933178.0,8454410.0,22478768.0,11441012.0,1251817.0,,4546070.0,311.0,187.0,30.0,1085355.0,,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,CRENSHAW COMMUNITY HOSPITAL,,0.298505,,37063.0,163778.0,,,,,,,,5573264.0,4732626.0,,,,,,-1382.0,,,2031083.0,,2017,unique reports,,,,,,,,,
10011,2016-07-01,2017-06-30,11/15/2018,07/19/2018,v2010,312.0,1152309195.0,205284205.0,947024990.0,213977009.0,95747245.0,88868688.0,416831443.0,15371.0,3641.0,2159.0,38623111.0,63078.0,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENTS EAST,,0.169842,750292.0,45434.0,82448813.0,-2395065.0,-28870216.0,-1132568.0,-355350.0,,-40355878.0,,31558340.0,50372893.0,,,,,-99216.0,-207536.0,47310384.0,419947.0,17209403.0,,2017,unique reports,,,,,,,,,
10012,2016-04-01,2017-03-31,11/14/2018,11/09/2018,v2010,97.0,381475585.0,45343858.0,336131727.0,48156388.0,11052044.0,7774814.0,106730853.0,3141.0,1081.0,784.0,7938131.0,10374.0,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,,0.112434,1203307.0,-832405.0,21205817.0,-428787.0,-6323549.0,-1510017.0,-1752708.0,-18250.0,-8970965.0,-3215763.0,11185396.0,2626208.0,,,,,222.0,-77452.0,1001132.0,1520.0,9942695.0,,2017,unique reports,,,,,,,,,
10016,2017-01-01,2017-12-31,06/11/2018,06/04/2018,v2010,212.0,1161526939.0,152573423.0,1008953516.0,151001785.0,80976414.0,32840071.0,536087277.0,10536.0,2653.0,1312.0,25994250.0,65533.0,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,SHELBY BAPTIST MEDICAL CENTER,,0.119302,1992947.0,1197290.0,99558015.0,-173089.0,-6355914.0,,,-10760.0,-7390202.0,,20048134.0,13700889.0,,,,,-104750.0,-107018.0,78567639.0,,10420322.0,,2017,unique reports,,,,,,,,,
10018,2016-10-01,2017-09-30,03/23/2018,03/19/2018,v2010,12.0,181647578.0,58518715.0,123128863.0,61808124.0,1069016.0,,,56.0,23.0,4.0,219653.0,,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,CALLAHAN EYE FOUNDATION HOSP,,0.257268,14804052.0,4812225.0,42687183.0,-120210.0,-30148940.0,-1872616.0,-7857450.0,,-16137261.0,,25572285.0,6819637.0,,,,,,,2554264.0,551415.0,2137137.0,,2017,unique reports,,,,,,,,,
10019,2016-10-01,2017-09-30,03/19/2018,03/08/2018,v2010,178.0,408430250.0,73199058.0,335231192.0,84074520.0,25794698.0,3588902.0,103048915.0,6864.0,2701.0,2196.0,19176768.0,26233.0,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,HELEN KELLER HOSPITAL,,0.204221,5013211.0,424506.0,35344765.0,-2941167.0,-15443493.0,-28879946.0,-12777738.0,,-50832987.0,,23558869.0,9220704.0,,,,,-92311.0,-168124.0,4219144.0,24841.0,38017834.0,,2017,unique reports,,,,,,,,,
10021,2016-10-01,2017-09-30,03/23/2018,03/23/2018,v2010,77.0,84078656.0,26892517.0,57186139.0,31360543.0,6695833.0,661465.0,12113990.0,1398.0,584.0,298.0,4028613.0,,126 HOSPITAL,OZARK,AL,36360-,DALE,DALE MEDICAL CENTER,,0.307538,-25542.0,265756.0,11474313.0,,-8516396.0,,,,-8020296.0,,4099790.0,3945928.0,,,,,-7030.0,-13097.0,1293876.0,,7023441.0,,2017,unique reports,,,,,,,,,
10022,2016-04-01,2017-03-31,03/26/2019,03/26/2019,v2010,45.0,80676679.0,11722326.0,68954353.0,15903239.0,4853942.0,,13948443.0,857.0,315.0,155.0,1932099.0,,100 NORTHWOOD DRIVE,CENTRE,AL,35960-,CHEROKEE,CHEROKEE MEDICAL CENTER,,0.150067,189490.0,-217007.0,-2.0,-195689.0,5812713.0,-632829.0,-704887.0,-3475.0,-2318927.0,-1956908.0,-172887.0,-7417786.0,,,,,2500.0,,699596.0,,2722192.0,,2017,unique reports,,,,,,,,,
10023,2016-07-01,2017-06-30,01/25/2019,01/17/2019,v2010,329.0,1456252520.0,407870498.0,1048382022.0,431394890.0,736536548.0,,,18594.0,4977.0,3659.0,59115513.0,60485.0,2105  EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116-,MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,,0.263397,10082735.0,13192211.0,96295885.0,,,,,,-210648953.0,,68908281.0,65026640.0,,,,,-264842.0,-313048.0,20658078.0,,61396448.0,,2017,unique reports,,,,,,,,,
10024,2017-01-01,2017-12-31,02/22/2019,02/20/2019,v2010,257.0,1075052067.0,211329255.0,863722812.0,216259816.0,94562445.0,24630172.0,504872044.0,15434.0,3978.0,2168.0,39581540.0,9423.0,1725 PINE STREET,MONTGOMERY,AL,36106-1109,MONTGOMERY,JACKSON HOSPITAL AND CLINIC  INC,,0.168652,8807993.0,5433691.0,84233069.0,-828207.0,-56949030.0,,-18753269.0,,-71058386.0,,62456633.0,24289998.0,,,,,-127037.0,-194145.0,48372560.0,227295.0,17539469.0,,2017,unique reports,,,,,,,,,
10029,2016-10-01,2017-09-30,03/27/2019,03/20/2019,v2010,383.0,737580204.0,298644556.0,438935648.0,296157319.0,52287709.0,10446712.0,224657616.0,16897.0,5124.0,3642.0,51670748.0,56290.0,2000 PEPPERELL PKWY,OPELIKA,AL,36802-,LEE,EAST ALABAMA MEDICAL CENTER,,0.369729,23073028.0,133859745.0,139657054.0,,,,,,-202413645.0,,195296548.0,74363135.0,,,,,334995.0,-774503.0,19421645.0,11127.0,22285507.0,,2017,unique reports,,,,,,,,,
10032,2016-10-01,2017-11-13,2018-06-11 00:00:00,2018-06-11 00:00:00,v2010,34.0,18222585.358722355,2496941.0,14071822.388206387,7023164.085995086,2249051.7714987714,0.0,1025051.5405405406,233.8058968058968,91.12530712530712,18.098280098280096,474293.0393120393,0.0,301 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,WEDOWEE HOSPITAL,,0.4196215,302018.0,464979.5,745039.5,,-1874787.5,,,,,,1542253.5,2928073.5,,,,,0.0,0.0,119324.5,1475.5,1430208.5,,2017,weighted_average,626762.0,,1.0,407.0,407.0,2.0,1.0,364.0,2017-11-13
10033,2016-10-01,2017-09-30,03/29/2018,03/27/2018,v2010,1058.0,6462059141.0,1530834591.0,4931224550.0,1589583289.0,3825018541.0,,,44875.0,12035.0,12219.0,255268989.0,222706.0,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,UNIVERSITY OF ALABAMA HOSPITAL,,0.202558,80958469.0,37165080.0,599832955.0,-253157.0,-481073005.0,,-9157237.0,,-343049694.0,,748226988.0,177847300.0,,,,,1316938.0,-726141.0,324778010.0,,137222221.0,,2017,unique reports,,,,,,,,,
10034,2016-10-01,2017-09-30,03/19/2018,03/12/2018,v2010,37.0,49073769.0,22167595.0,26906174.0,26706543.0,3510822.0,637710.0,7987899.0,1028.0,433.0,168.0,2603999.0,5774.0,805 FRIENDSHIP DRIVE,TALLASSEE,AL,36078,ELMORE,COMMUNITY HOSPITAL INC.,,0.385701,128538.0,70739.0,3839354.0,,,,,,,,3173235.0,2821344.0,,,,,28417.0,-655.0,866859.0,,2731609.0,,2017,unique reports,,,,,,,,,
10035,2016-07-01,2017-06-30,11/15/2018,11/14/2018,v2010,115.0,487924762.0,112844451.0,375080311.0,104452043.0,25344785.0,8773128.0,163810514.0,7807.0,3383.0,1390.0,33047123.0,28563.0,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35056,CULLMAN,CULLMAN REGIONAL,,0.197128,7769188.0,31584701.0,50042824.0,-2919531.0,-32245682.0,,,,-34757782.0,,49503089.0,20232465.0,,,,,66290.0,-74956.0,7155332.0,,32986294.0,-1024486.0,2017,unique reports,,,,,,,,,
10036,2016-04-01,2017-03-31,01/24/2019,01/04/2019,v2010,88.0,248083466.0,39493458.0,208590008.0,40948364.0,21880224.0,6182196.0,70690352.0,3107.0,1449.0,655.0,9397849.0,4361.0,849 THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,ANDALUSIA REGIONAL HOSPITAL,,0.131189,1844087.0,-2991.0,18270747.0,-600291.0,-11323049.0,-2250253.0,-4193796.0,,-9964108.0,-4759166.0,10751633.0,2111615.0,,,,,23758.0,-20336.0,37207.0,,12814235.0,,2017,unique reports,,,,,,,,,
10038,2016-07-01,2017-09-30,2018-11-14 00:00:00,2018-11-08 00:00:00,v2010,125.0,344555341.26373625,25392150.0,316067599.0043956,29476635.279120877,7604023.582417581,2261421.8945054943,103201593.46813187,1984.6967032967032,959.7956043956043,271.15604395604396,6569388.358241757,29136.613186813185,301 EAST 18TH STREET,ANNISTON,AL,36207,CALHOUN,STRINGFELLOW MEMORIAL HOSPITAL,,0.078567,4028729.0,268764.5,17978640.5,-15380.5,-324730.0,-117134.0,-50592.0,,-1124286.0,-398630.0,2469176.0,398631.0,,,,,7077.437362637362,-52381.34065934066,1477992.5,40.0,24686171.0,,2017,weighted_average,635499.0,,1.0,455.0,455.0,2.0,1.0,303.0,2017-09-30
10039,2016-07-01,2017-06-30,11/15/2018,11/14/2018,v2010,863.0,4754758517.0,902810931.0,3851947586.0,913935681.0,238537343.0,161512262.0,1990731188.0,49243.0,15495.0,10047.0,177736062.0,377417.0,101 SIVLEY ROAD,HUNTSVILLE,AL,35801-,MADISON,HUNTSVILLE HOSPITAL,,0.167685,2404057.0,140643379.0,364993621.0,-14118276.0,-358706206.0,,,,-287456918.0,,665241756.0,320871011.0,,,,,109124.0,-554068.0,70452558.0,81363.0,258886199.0,,2017,unique reports,,,,,,,,,
10040,2016-10-01,2017-09-30,10/13/2018,09/27/2018,v2010,225.0,2507260718.0,180578224.0,2326682494.0,186603773.0,249939676.0,72877610.0,1088339400.0,13565.0,4481.0,2166.0,43622626.0,33704.0,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,GADSDEN REGIONAL MEDICAL CENTER,,0.068047,6152036.0,-722506.0,100254394.0,-950273.0,-24029959.0,-8618112.0,-3287932.0,-3511.0,-27718454.0,-11272961.0,48879318.0,107085524.0,,,,,-60181.0,-744487.0,99264107.0,655.0,67758387.0,,2017,unique reports,,,,,,,,,
10044,2016-10-01,2017-09-30,03/12/2018,03/09/2018,v2010,36.0,75958674.0,18503343.0,57455331.0,21311238.0,1616863.0,,15664424.0,662.0,378.0,48.0,2180459.0,,1256 MILITARY ST SOUTH,HAMILTON,AL,35570-,MARION,MARION REGIONAL MEDICAL CENTER,,0.292417,333055.0,1469374.0,5130874.0,,,,,,-15719634.0,,8506770.0,7471175.0,,,,,45958.0,,2395500.0,,3891938.0,,2017,unique reports,,,,,,,,,
10045,2016-10-01,2017-09-30,03/23/2018,03/19/2018,v2010,42.0,79085910.0,79085910.0,,25354171.0,13974237.0,,,700.0,384.0,90.0,2415198.0,,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555-,FAYETTE,FAYETTE MEDICAL CENTER,,0.319514,,2209907.0,11250467.0,,,,,,-14696875.0,,7764505.0,3306302.0,,,,,39848.0,-46839.0,4302474.0,14098.0,958631.0,,2017,unique reports,,,,,,,,,
10046,2017-01-01,2017-12-31,06/06/2018,06/06/2018,v2010,256.0,903601258.0,81348349.0,822252909.0,85892684.0,30618332.0,6042842.0,451739450.0,7087.0,2956.0,919.0,25481163.0,21108.0,600 SOUTH 3RD STREET,GADSDEN,AL,35901,ETOWAH,RIVERVIEW REGIONAL MEDICAL CENTER,,0.088178,7049363.0,6153243.0,25139125.0,-9471.0,-1279569.0,-64919.0,-59263.0,,-7677332.0,-61538.0,24082369.0,57133576.0,,,,,80110.0,-151071.0,1113422.0,,111529065.0,,2017,unique reports,,,,,,,,,
10047,2017-01-01,2017-12-31,06/19/2018,06/15/2018,v2010,22.0,10785851.0,5288239.0,5497612.0,6112935.0,729494.0,,1716722.0,458.0,304.0,67.0,1358222.0,,515 MIRANDA STREET,GEORGIANA,AL,36033,BUTLER,GEORGIANA HOSPITAL,,0.543115,34021.0,73744.0,184319.0,,,,,,-880666.0,,857704.0,1751274.0,,,,,6158.0,-7981.0,7886.0,,431138.0,,2017,unique reports,,,,,,,,,
