provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source,report,npi,status,time_diff,total_days,total_reports,report_number,max_days,max_date
10001,2015-10-01,2016-09-30,03/20/2019,03/17/2019,v2010,387.0,1633882183.0,314934337.0,1318947846.0,338324728.0,137366641.0,31705859.0,585141075.0,19632.0,8529.0,3115.0,78945166.0,61046.0,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,,0.162766,24875003.0,6085744.0,159857226.0,,,,,,-359122955.0,,66684582.0,40344854.0,,,,,-255521.0,-311152.0,21521848.0,281481.0,93734204.0,,2016,unique reports,,,,,,,,,
10005,2015-10-01,2016-09-30,03/21/2017,03/09/2017,v2010,204.0,495817605.0,152458646.0,343358959.0,154413970.0,17380010.0,4949290.0,99675874.0,9406.0,3659.0,1446.0,28071853.0,31569.0,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,MARSHALL MEDICAL CENTER - SOUTH,,0.277037,6873293.0,14514700.0,89005408.0,-5332589.0,-71181102.0,,-8169172.0,,-91985067.0,,41395402.0,24584413.0,,,,,41118.0,-224551.0,6663272.0,24024.0,29008464.0,-1845511.0,2016,unique reports,,,,,,,,,
10006,2015-07-01,2016-06-30,12/20/2016,12/13/2016,v2010,358.0,777022906.0,148322664.0,628700242.0,137600484.0,40906427.0,26787525.0,366413835.0,12713.0,5977.0,2025.0,51004675.0,20285.0,205 MARENGO STREET,FLORENCE,AL,35630,LAUDERDALE,ELIZA COFFEE MEMORIAL HOSPITAL,,0.150742,662000.0,-471985.0,80710156.0,,-3034224.0,,,,-2226872.0,,32237412.0,17893143.0,,,,,-898.0,-30464.0,5941737.0,630203.0,37620288.0,,2016,unique reports,,,,,,,,,
10007,2015-10-01,2016-09-30,11/15/2018,11/14/2018,v2010,45.0,47215304.0,13547778.0,33667526.0,15967884.0,1902825.0,745394.0,10518721.0,1179.0,764.0,159.0,4081805.0,,702 MAIN STREET,OPP,AL,36462-,COVINGTON,MIZELL MEMORIAL HOSPITAL,,0.307323,105440.0,1493945.0,6514997.0,-154369.0,-10495855.0,,-12702756.0,,,,6682770.0,1644922.0,,,,,-6382.0,-13398.0,67574.0,3010.0,4012685.0,,2016,unique reports,,,,,,,,,
10008,2016-01-01,2016-12-31,01/25/2019,01/17/2019,v2010,29.0,54537220.0,11411100.0,43126120.0,13456919.0,1301112.0,,4795302.0,328.0,195.0,37.0,1041149.0,,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,CRENSHAW COMMUNITY HOSPITAL,,0.231569,37477.0,89613.0,190637.0,,,,,,,,6011784.0,4575123.0,,,,,-671.0,-389.0,,,3200447.0,,2016,unique reports,,,,,,,,,
10011,2015-07-01,2016-06-30,12/21/2016,12/13/2016,v2010,313.0,1144097527.0,203743282.0,940354245.0,209269860.0,82034778.0,80037670.0,419249091.0,15226.0,3949.0,2026.0,40359175.0,60727.0,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENTS EAST,,0.172039,5962031.0,8000.0,82916374.0,-2168627.0,-25363188.0,-942874.0,-335349.0,,-38647215.0,,55471716.0,58166738.0,,,,,-109803.0,-193706.0,44890200.0,208969.0,15369752.0,,2016,unique reports,,,,,,,,,
10012,2015-04-01,2016-03-31,10/04/2016,09/20/2016,v2010,97.0,360099151.0,45631381.0,314467770.0,50721000.0,10419180.0,6183739.0,94270637.0,3161.0,1022.0,846.0,7215141.0,9517.0,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,,0.118379,1597515.0,-312941.0,22456901.0,-351225.0,-5728811.0,-1289588.0,-1453072.0,-18250.0,-8522629.0,-2830453.0,9421886.0,65731454.0,,,,,-11949.0,-48522.0,1346543.0,2815.0,10168286.0,,2016,unique reports,,,,,,,,,
10016,2016-01-01,2016-12-31,11/15/2018,11/12/2018,v2010,212.0,1060849352.0,159014151.0,901835201.0,153309368.0,68902574.0,30346284.0,500156654.0,11045.0,3234.0,1447.0,31518562.0,60020.0,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,SHELBY BAPTIST MEDICAL CENTER,,0.137123,4581782.0,95885.0,99550815.0,-96160.0,-3518256.0,,,-6725.0,-4269309.0,,22303307.0,19801487.0,,,,,-63786.0,-141477.0,78089425.0,58186.0,11064166.0,,2016,unique reports,,,,,,,,,
10018,2015-10-01,2016-09-30,11/15/2018,11/14/2018,v2010,12.0,161340493.0,53015650.0,108324843.0,55122459.0,1192348.0,,,64.0,37.0,1.0,479518.0,,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,CALLAHAN EYE FOUNDATION HOSP,,0.260307,14728083.0,4711928.0,31762914.0,,,,,,-52256694.0,,40127562.0,8616596.0,,,,,,,1991442.0,345246.0,2522868.0,,2016,unique reports,,,,,,,,,
10019,2015-10-01,2016-09-30,11/15/2018,11/14/2018,v2010,185.0,385093121.0,72539942.0,312553179.0,81156767.0,23589940.0,3602392.0,96968309.0,6507.0,2653.0,2202.0,19121451.0,23850.0,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,HELEN KELLER HOSPITAL,,0.200506,,642563.0,31754294.0,-4700746.0,-45220731.0,-2422352.0,-55084424.0,,,,15470006.0,10805089.0,,,,,43099.0,-51617.0,5406701.0,,37247926.0,,2016,unique reports,,,,,,,,,
