provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source,report,npi,status,time_diff,total_days,total_reports,report_number,max_days,max_date
10001,2011-10-01,2012-09-30,11/15/2013,11/15/2013,v2010,408.0,1263055782.0,254833332.0,1008222450.0,274011907.0,116037225.0,22462583.0,451306499.0,17435.0,7790.0,3931.0,71694012.0,55155.0,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,,0.180614,18470611.0,26293459.0,171472717.0,,,,,,,,74964461.0,47758873.0,,,,,,,25683016.0,,90699091.0,-301412424.0,2012,unique reports,,,,,,,,,
10005,2011-10-01,2012-09-30,03/21/2013,03/11/2013,v2010,204.0,427968074.0,122788973.0,305179101.0,132436902.0,17117308.0,4635820.0,90514006.0,9168.0,3930.0,1291.0,28853253.0,13298.0,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,MARSHALL MEDICAL CENTER - SOUTH,,0.269964,9497631.0,10766629.0,84870277.0,-4738766.0,-56328868.0,,-7629004.0,-309960.0,-76698520.0,,46378442.0,-4732613.0,,,,,,,9449884.0,80433.0,31665716.0,-387464.0,2012,unique reports,,,,,,,,,
10006,2011-07-01,2012-06-30,12/13/2012,12/12/2012,v2010,358.0,605110634.0,123282194.0,481828440.0,128699046.0,30987945.0,18050030.0,294039710.0,10862.0,5275.0,1935.0,43016584.0,30818.0,205 MARENGO STREET,FLORENCE,AL,35630,LAUDERDALE,ELIZA COFFEE MEMORIAL HOSPITAL,,0.182635,2729379.0,429857.0,69818045.0,,-16840442.0,,,,-7222972.0,,31246706.0,11518907.0,,,,,,,9879330.0,,27670059.0,,2012,unique reports,,,,,,,,,
10007,2011-10-01,2012-09-30,03/05/2013,03/04/2013,v2010,78.0,41342505.0,11724053.0,29618452.0,16272087.0,1914363.0,429010.0,12469201.0,1302.0,819.0,133.0,3976081.0,2284.0,702 MAIN STREET,OPP,AL,36462-,COVINGTON,MIZELL MEMORIAL HOSPITAL,,0.32711,994197.0,301381.0,8200433.0,,-10623320.0,,,,-10000000.0,,5482517.0,2266769.0,,,,,,,216239.0,,3780125.0,,2012,unique reports,,,,,,,,,
10008,2012-01-01,2012-12-31,08/27/2013,08/26/2013,v2010,29.0,29348434.0,6825958.0,22522476.0,13345475.0,5267400.0,,4410791.0,744.0,374.0,166.0,2092637.0,10717.0,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,CRENSHAW COMMUNITY HOSPITAL,,0.462658,1858.0,873188.0,654557.0,,,,,,-499924.0,,6456810.0,6223673.0,,,,,,,3204.0,,5213195.0,,2012,unique reports,,,,,,,,,
10009,2011-02-01,2012-01-31,12/18/2014,12/17/2014,v2010,130.0,95149604.0,15712958.0,79436646.0,20124625.0,1599627.0,363341.0,37800400.0,967.0,572.0,104.0,3103887.0,,201 PINE STREET NW,HARTSELLE,AL,35640-,MORGAN,HARTSELLE MEDICAL CENTER,,0.152722,39988.0,-257393.0,6136426.0,,,,,,-3791061.0,,2373315.0,974051.0,,,,,,,569315.0,,2229723.0,,2012,unique reports,,,,,,,,,
10011,2011-07-01,2012-06-30,11/05/2013,10/07/2013,v2010,279.0,800637921.0,222976157.0,577661764.0,217295314.0,44396661.0,68719532.0,323542372.0,13954.0,4133.0,1654.0,40802808.0,85339.0,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENTS EAST,,0.220027,5431314.0,833444.0,91194643.0,-1249164.0,-13055474.0,-43272.0,-3577474.0,,-25826800.0,,97922849.0,101427923.0,,,,,,,12260362.0,,18724513.0,,2012,unique reports,,,,,,,,,
10012,2011-04-01,2012-03-31,06/30/2014,06/28/2014,v2010,97.0,277868315.0,58569689.0,219298626.0,61651015.0,8938233.0,4532360.0,91667511.0,3853.0,1485.0,895.0,9452911.0,10490.0,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,,0.147039,1959339.0,227940.0,24177638.0,-118293.0,-3423799.0,-569184.0,-516332.0,-20475.0,-6069931.0,-1885981.0,9218720.0,48492537.0,,,,,,,8861923.0,19605.0,9827606.0,,2012,unique reports,,,,,,,,,
10016,2012-01-01,2012-12-31,06/18/2013,06/14/2013,v2010,193.0,831653149.0,142056893.0,689596256.0,144346840.0,95014987.0,,387778244.0,10594.0,3399.0,2094.0,30655922.0,26576.0,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,SHELBY BAPTIST MEDICAL CENTER,,0.162781,,47760.0,141147042.0,,-108732837.0,,,,,,20138768.0,40700579.0,,,,,1459.0,-16194.0,27760359.0,,42265179.0,,2012,unique reports,,,,,,,,,
10018,2011-10-01,2012-12-31,2014-01-27 00:00:00,2014-01-09 00:00:00,v2010,12.0,72203507.35745615,14195637.0,52722318.423245616,24897841.91885965,114473.95394736843,0.0,913969.951754386,71.4298245614035,20.405701754385966,2.8004385964912277,209359.61622807017,0.0,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,CALLAHAN EYE FOUNDATION HOSP,,0.2600345,1612971.5,6358242.5,19746520.0,,,,,,-44119080.0,,15726369.5,4611680.5,,,,,0.0,0.0,1404903.5,91777.5,801698.0,,2012,weighted_average,514947.0,,1.0,456.0,456.0,2.0,1.0,365.0,2012-12-31
10019,2011-10-01,2012-09-30,03/26/2013,03/25/2013,v2010,185.0,306416932.0,78343330.0,228073602.0,83662261.0,27199854.0,4952480.0,88997098.0,7044.0,3066.0,1530.0,21915245.0,13361.0,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,HELEN KELLER HOSPITAL,,0.250757,2360035.0,6401164.0,29716249.0,,,,,,,-80000866.0,38383366.0,9313614.0,,,,,,,8308882.0,,14329949.0,,2012,unique reports,,,,,,,,,
10021,2011-10-01,2012-09-30,03/21/2013,03/20/2013,v2010,77.0,105019680.0,28117871.0,76901809.0,29762528.0,5969911.0,691935.0,15827976.0,1973.0,779.0,376.0,4867964.0,2224.0,126 HOSPITAL,OZARK,AL,36360-,DALE,DALE MEDICAL CENTER,,0.329278,,1126292.0,11294412.0,,,,,,,,14404728.0,4893590.0,,,,,,,766823.0,,7292272.0,,2012,unique reports,,,,,,,,,
10022,2011-04-01,2012-03-31,07/28/2014,07/28/2014,v2010,45.0,65415788.0,17640415.0,47775373.0,21986652.0,3392510.0,,14586240.0,852.0,479.0,112.0,2507725.0,868.0,100 NORTHWOOD DRIVE,CENTRE,AL,35960-,CHEROKEE,CHEROKEE MEDICAL CENTER,,0.197202,1268362.0,-177765.0,7721343.0,-102530.0,-1091834.0,-118727.0,-263314.0,-5050.0,-2068156.0,-952137.0,2755702.0,27881960.0,,,,,,,1174094.0,1173.0,2589155.0,,2012,unique reports,,,,,,,,,
10023,2011-07-01,2012-06-30,12/26/2012,12/21/2012,v2010,363.0,1024744514.0,251048812.0,773695702.0,276012976.0,68723473.0,50674654.0,450749143.0,16648.0,5273.0,4222.0,62128262.0,52370.0,2105  EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116-,MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,,0.244128,25688067.0,2782498.0,93081560.0,,,,,,-198215047.0,,372773583.0,72613056.0,,,,,,,36145587.0,,52187006.0,,2012,unique reports,,,,,,,,,
10024,2012-01-01,2012-12-31,09/12/2013,08/21/2013,v2010,255.0,642192108.0,167228556.0,474963552.0,162387025.0,62218980.0,18685192.0,306717361.0,14474.0,4949.0,2890.0,43667230.0,17787.0,1725 PINE STREET,MONTGOMERY,AL,36106-1109,MONTGOMERY,JACKSON HOSPITAL AND CLINIC  INC,,0.224416,7801952.0,595178.0,103137044.0,-468781.0,-41101773.0,,-13424430.0,,-32782238.0,,41752293.0,21849934.0,,,,,4709.0,-14982.0,31627658.0,,14899948.0,,2012,unique reports,,,,,,,,,
10025,2011-07-01,2012-06-30,09/25/2013,09/24/2013,v2010,84.0,90319122.0,49438811.0,40880311.0,52281683.0,5088328.0,1757584.0,20000507.0,2835.0,1205.0,433.0,8765757.0,8642.0,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,GEORGE H. LANIER HOSPITAL,,0.426324,3994245.0,4473080.0,21151155.0,-1001256.0,-22553681.0,,-1498462.0,,-17016319.0,,14067545.0,7261109.0,,,,,,,387766.0,1208.0,8766143.0,,2012,unique reports,,,,,,,,,
10027,2011-07-01,2012-06-30,06/16/2014,06/03/2014,v2010,20.0,13962755.0,8938134.0,5024621.0,11315993.0,269800.0,,1906314.0,247.0,110.0,73.0,484911.0,,987 DRAYTON STREET,ELBA,AL,35323,COFFEE,ELBA GENERAL HOSPITAL,,0.751284,4290397.0,677140.0,10052291.0,,,,,,,-8934069.0,2147231.0,2249732.0,,,,,,,,,-45086.0,,2012,unique reports,,,,,,,,,
10029,2011-10-01,2012-09-30,09/18/2013,09/18/2013,v2010,258.0,526526568.0,228842133.0,297684435.0,232971169.0,34534183.0,8608125.0,167133236.0,15507.0,5435.0,2243.0,54088392.0,62365.0,2000 PEPPERELL PKWY,OPELIKA,AL,36802-,LEE,EAST ALABAMA MEDICAL CENTER,,0.409003,10573924.0,136029584.0,130873914.0,,,,,,-174047607.0,,166821797.0,78324838.0,,,,,,,6345536.0,6608.0,31796024.0,,2012,unique reports,,,,,,,,,
10032,2011-10-01,2012-09-30,04/19/2013,03/27/2013,v2010,34.0,21233489.0,10655076.0,10578413.0,10444985.0,1438459.0,,6100835.0,723.0,396.0,99.0,1757275.0,,301 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,WEDOWEE HOSPITAL,,0.360248,622367.0,1374417.0,1109196.0,,,,,,,,2546382.0,1575638.0,,,,,,,174559.0,,2988560.0,,2012,unique reports,,,,,,,,,
